wave,625-50,675-50,725-50,750-50,775-50,Open,F610,F670,F720,F760,Halpha,Ha-Cont,SII,SII-Cont,ND10,ND25
687.5,1.07E-05,0.9681552905,0.0001367469834,1.22E-05,7.41E-07,0.9807427584,7.08E-14,0.7910335224,0.02992620719,0.03866847364,0,0,0,1.09E-05,0.1080387225,0.003841970026
687.6,9.36E-06,0.9683055795,0.0001423024697,1.21E-05,7.31E-07,0.980872219,7.11E-14,0.7877591645,0.03070550947,0.03897686685,0,0,0,1.02E-05,0.1080430527,0.003842290445
687.7,8.26E-06,0.9684433154,0.0001481179324,1.19E-05,7.21E-07,0.9810053172,7.17E-14,0.7843098723,0.03153196891,0.03929416004,0,0,2.45E-55,9.47E-06,0.1080473722,0.003842606959
687.8,7.36E-06,0.9685585529,0.0001542147353,1.18E-05,7.11E-07,0.9811284755,7.25E-14,0.7806907541,0.03240213096,0.03961789847,0,0,0,8.78E-06,0.1080516645,0.003842909844
687.9,6.64E-06,0.9686638449,0.0001606117582,1.16E-05,7.01E-07,0.9812380563,7.35E-14,0.7769149468,0.03331282546,0.03994601324,0,0,0,8.08E-06,0.1080559127,0.003843189376
688,6.05E-06,0.9688115264,0.0001673167049,1.16E-05,6.91E-07,0.9813847321,7.44E-14,0.7730382847,0.03426278081,0.04027865841,0,0,5.02E-57,7.39E-06,0.1080601,0.003843435833
688.1,5.55E-06,0.969040424,0.0001743383019,1.15E-05,6.82E-07,0.9816113364,7.52E-14,0.7691094496,0.03525066409,0.04061573033,0,0,1.95E-57,6.84E-06,0.1080642168,0.0038436422
688.2,5.14E-06,0.9692955488,0.0001817005411,1.14E-05,6.73E-07,0.981875036,7.57E-14,0.7651094208,0.03627218404,0.04095360823,0,0,0,6.29E-06,0.1080682816,0.003843812301
688.3,4.79E-06,0.9695245657,0.0001894299808,1.14E-05,6.64E-07,0.9821251583,7.59E-14,0.7610136043,0.03732260747,0.04128828269,0,0,0,5.74E-06,0.10807232,0.00384395267
688.4,4.51E-06,0.9697795712,0.0001975481784,1.12E-05,6.55E-07,0.9823653401,7.60E-14,0.7568399119,0.03839913317,0.04161797898,0,0,0,5.19E-06,0.1080763577,0.00384406984
688.5,4.26E-06,0.9701146027,0.0002060746047,1.11E-05,6.47E-07,0.9826091588,7.58E-14,0.7526133289,0.0394993846,0.04194150823,0,0,0,4.64E-06,0.1080804201,0.003844170345
688.6,4.04E-06,0.9704870306,0.0002150253836,1.10E-05,6.40E-07,0.9828556442,7.55E-14,0.7483478191,0.04062018248,0.04225731644,0,0,0,4.32E-06,0.1080845329,0.003844260719
688.7,3.87E-06,0.970844793,0.0002244162119,1.10E-05,6.32E-07,0.9831011593,7.51E-14,0.7440635991,0.04175578988,0.04256375232,0,0,7.75E-61,4.00E-06,0.1080887217,0.003844347494
688.8,3.73E-06,0.9711947647,0.0002342644228,1.09E-05,6.24E-07,0.9833459481,7.45E-14,0.7397880954,0.04289930866,0.04285932783,0,0,1.76E-61,3.68E-06,0.1080930121,0.003844437206
688.9,3.61E-06,0.9715516798,0.0002445947571,1.09E-05,6.16E-07,0.983590981,7.39E-14,0.7355488343,0.04404388695,0.04314258564,0,0,3.48E-63,3.35E-06,0.1080974296,0.003844536386
689,3.52E-06,0.9719027732,0.00025545995,1.08E-05,6.08E-07,0.9838362522,7.33E-14,0.7313721192,0.04518265704,0.04341202496,0,0,2.36E-64,3.03E-06,0.108102,0.00384465157
689.1,3.45E-06,0.97224117,0.000266910285,1.07E-05,6.01E-07,0.9840815177,7.26E-14,0.7272836116,0.04630876248,0.04366613289,0,0,2.67E-63,2.94E-06,0.1081067373,0.003844787582
689.2,3.39E-06,0.9726110562,0.0002789582445,1.06E-05,5.95E-07,0.9843265562,7.20E-14,0.7233085486,0.04741536673,0.04390339582,0,0,0,2.84E-06,0.1081116099,0.003844942415
689.3,3.36E-06,0.9730532147,0.0002916117937,1.05E-05,5.88E-07,0.9845713733,7.14E-14,0.7194719204,0.04849566052,0.04412230865,0,0,0,2.75E-06,0.1081165749,0.003845112354
689.4,3.34E-06,0.9735437548,0.0003048986303,1.05E-05,5.81E-07,0.9848168602,7.09E-14,0.715798964,0.04954289181,0.04432141444,0,0,0,2.65E-06,0.1081215892,0.003845293683
689.5,3.34E-06,0.9740385378,0.0003188583253,1.05E-05,5.74E-07,0.9850632383,7.05E-14,0.7123134565,0.05055024333,0.04449963658,0,0,0,2.56E-06,0.1081266097,0.003845482689
689.6,3.36E-06,0.9744771063,0.0003335582118,1.04E-05,5.67E-07,0.9853071642,7.02E-14,0.7090361465,0.05151045908,0.04465628908,0,0,0,2.42E-06,0.1081315934,0.003845675654
689.7,3.40E-06,0.9748273094,0.000349065121,1.04E-05,5.61E-07,0.9855477467,7.00E-14,0.7059941985,0.05241492536,0.04479083396,0,0,9.84E-67,2.28E-06,0.1081364974,0.003845868865
689.8,3.46E-06,0.9751865404,0.0003654161153,1.03E-05,5.55E-07,0.9857974683,7.01E-14,0.7032263299,0.05325507052,0.04490334193,0,0,4.46E-68,2.15E-06,0.1081412784,0.003846058605
